,እናመሰግናለን,እወድናለሁ,አመሰግናለሁ,እናመሰግናለን,እናመሰግናለን,አመሰግናለሁ,አመሰግናለሁ,እናመሰግናለን,ተጠሪ,ተጠሪታ,ግዴታ,ተጠምሮ,ግዴታ,ዕዳ አለኝ,ዕዳ የለብኝ,ይቅርታዎች,ይቅርታ,ይቅርታ,አሰቃይነት,አሰቃይ,ይቅርታ,ይቅርታ አግዳሚ,ይቅርታ ማንሳት,ይቅርታ ይባርካችሁ
እናመሰግናለን,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9969010283935453,0.9969010283935453,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9969010283935453,0.9969010283935453,0.9969010283935453
እወድናለሁ,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9969010283935453,0.9969010283935453,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9969010283935453,0.9969010283935453,0.9969010283935453
አመሰግናለሁ,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9969010283935453,0.9969010283935453,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9969010283935453,0.9969010283935453,0.9969010283935453
እናመሰግናለን,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9969010283935453,0.9969010283935453,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9969010283935453,0.9969010283935453,0.9969010283935453
እናመሰግናለን,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9969010283935453,0.9969010283935453,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9969010283935453,0.9969010283935453,0.9969010283935453
አመሰግናለሁ,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9969010283935453,0.9969010283935453,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9969010283935453,0.9969010283935453,0.9969010283935453
አመሰግናለሁ,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9969010283935453,0.9969010283935453,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9969010283935453,0.9969010283935453,0.9969010283935453
እናመሰግናለን,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9969010283935453,0.9969010283935453,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9969010283935453,0.9969010283935453,0.9969010283935453
ተጠሪ,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9969010283935443,0.9969010283935443,0.9999999999999996,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9969010283935453,0.9969010283935453,0.9969010283935453
ተጠሪታ,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9969010283935443,0.9969010283935443,0.9999999999999996,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9969010283935453,0.9969010283935453,0.9969010283935453
ግዴታ,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9969010283935443,0.9969010283935443,0.9999999999999996,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9969010283935453,0.9969010283935453,0.9969010283935453
ተጠምሮ,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9969010283935443,0.9969010283935443,0.9999999999999996,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9969010283935453,0.9969010283935453,0.9969010283935453
ግዴታ,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9969010283935443,0.9969010283935443,0.9999999999999996,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9969010283935453,0.9969010283935453,0.9969010283935453
ዕዳ አለኝ,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9969010283935443,0.9969010283935443,0.9969010283935443,0.9969010283935443,0.9969010283935443,0.9999999999999998,0.9999999999999998,0.9969010283935443,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9999999999999988,0.9999999999999988,0.9999999999999988
ዕዳ የለብኝ,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9969010283935443,0.9969010283935443,0.9969010283935443,0.9969010283935443,0.9969010283935443,0.9999999999999998,0.9999999999999998,0.9969010283935443,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9999999999999988,0.9999999999999988,0.9999999999999988
ይቅርታዎች,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9969010283935443,0.9969010283935443,0.9999999999999996,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9969010283935453,0.9969010283935453,0.9969010283935453
