,баһалау,баһалау,рәхмәтле,рәхмәтлелек,рәхмәтлелек,рәхмәт,рәхмәтле,рәхмәтлелек,бурысло,бурыслылыҡ,бурыс,йөкләмә,мәжбүр,йөкләмә,бурысло булыу,бурыста булыу,үкенесле,үкенес,ғәфү үтенеүҙәр,ғәфү үтенеү,ғәфү үтенеү,ғәфү итегеҙ,мине ғәфү итегеҙ,ғәфү ит
баһалау,0.9999999999999998,0.9999999999999998,0.993444377395239,0.9918156101985112,0.9918156101985112,0.9909685956084203,0.993444377395239,0.9918156101985112,0.9854771880110805,0.990935457312977,0.9782873678399489,0.9932699686743264,0.9929369669861363,0.9932699686743264,0.9906873713090036,0.9920722592235406,0.9930150971096358,0.990051112059895,0.9913844315641389,0.9927991151520377,0.9927991151520377,0.991040372610598,0.9885879366808712,0.9939851914606743
баһалау,0.9999999999999998,0.9999999999999998,0.993444377395239,0.9918156101985112,0.9918156101985112,0.9909685956084203,0.993444377395239,0.9918156101985112,0.9854771880110805,0.990935457312977,0.9782873678399489,0.9932699686743264,0.9929369669861363,0.9932699686743264,0.9906873713090036,0.9920722592235406,0.9930150971096358,0.990051112059895,0.9913844315641389,0.9927991151520377,0.9927991151520377,0.991040372610598,0.9885879366808712,0.9939851914606743
рәхмәтле,0.993444377395239,0.993444377395239,0.9999999999999998,0.99550908919082,0.99550908919082,0.992659445574047,0.9999999999999998,0.99550908919082,0.9854975776649406,0.9915610911295666,0.9780216596084886,0.9957141939335461,0.993733936423147,0.9957141939335461,0.991437451034229,0.993839210561361,0.9965775648184161,0.9917693133939236,0.9933091181998972,0.9943359002347024,0.9943359002347024,0.9940387039357471,0.9924393814512412,0.9910500919799712
рәхмәтлелек,0.9918156101985112,0.9918156101985112,0.99550908919082,0.9999999999999996,0.9999999999999996,0.9886735986662414,0.99550908919082,0.9999999999999996,0.9862408093534903,0.9949815250375327,0.983033094631986,0.9947248794691327,0.9904843537883047,0.9947248794691327,0.9937671261857745,0.9945662340181466,0.9927547636906673,0.9888009917130502,0.9958065228478715,0.9952849356251959,0.9952849356251959,0.9918825077160026,0.9900178918746237,0.9891926032420356
рәхмәтлелек,0.9918156101985112,0.9918156101985112,0.99550908919082,0.9999999999999996,0.9999999999999996,0.9886735986662414,0.99550908919082,0.9999999999999996,0.9862408093534903,0.9949815250375327,0.983033094631986,0.9947248794691327,0.9904843537883047,0.9947248794691327,0.9937671261857745,0.9945662340181466,0.9927547636906673,0.9888009917130502,0.9958065228478715,0.9952849356251959,0.9952849356251959,0.9918825077160026,0.9900178918746237,0.9891926032420356
рәхмәт,0.9909685956084203,0.9909685956084203,0.992659445574047,0.9886735986662414,0.9886735986662414,0.9999999999999998,0.992659445574047,0.9886735986662414,0.9789454911457816,0.9855729781258099,0.9724717472326261,0.9908234041510896,0.9923707333516084,0.9908234041510896,0.9840754870600389,0.9868569473058643,0.989368778736142,0.987080559029376,0.9874136387772917,0.989422166541999,0.989422166541999,0.9897922407070046,0.9880380199440277,0.9912582954121274
рәхмәтле,0.993444377395239,0.993444377395239,0.9999999999999998,0.99550908919082,0.99550908919082,0.992659445574047,0.9999999999999998,0.99550908919082,0.9854975776649406,0.9915610911295666,0.9780216596084886,0.9957141939335461,0.993733936423147,0.9957141939335461,0.991437451034229,0.993839210561361,0.9965775648184161,0.9917693133939236,0.9933091181998972,0.9943359002347024,0.9943359002347024,0.9940387039357471,0.9924393814512412,0.9910500919799712
рәхмәтлелек,0.9918156101985112,0.9918156101985112,0.99550908919082,0.9999999999999996,0.9999999999999996,0.9886735986662414,0.99550908919082,0.9999999999999996,0.9862408093534903,0.9949815250375327,0.983033094631986,0.9947248794691327,0.9904843537883047,0.9947248794691327,0.9937671261857745,0.9945662340181466,0.9927547636906673,0.9888009917130502,0.9958065228478715,0.9952849356251959,0.9952849356251959,0.9918825077160026,0.9900178918746237,0.9891926032420356
бурысло,0.9854771880110805,0.9854771880110805,0.9854975776649406,0.9862408093534903,0.9862408093534903,0.9789454911457816,0.9854975776649406,0.9862408093534903,0.999999999999999,0.9872121020003135,0.9849600501547514,0.986609642024509,0.9816200707418838,0.986609642024509,0.989956845934978,0.9893828209475385,0.9858352471011393,0.9816504556233431,0.983875375977322,0.9839273737981897,0.9839273737981897,0.9820079018952731,0.9795113959833543,0.9796392269891455
бурыслылыҡ,0.990935457312977,0.990935457312977,0.9915610911295666,0.9949815250375327,0.9949815250375327,0.9855729781258099,0.9915610911295666,0.9949815250375327,0.9872121020003135,0.9999999999999994,0.9824836832249442,0.9931409114537456,0.9883480544731618,0.9931409114537456,0.9938267030432733,0.9946712644817347,0.9909909381079216,0.9888333663513091,0.9939118992493053,0.9948349555318924,0.9948349555318924,0.9912681942363263,0.9905266729536006,0.9886180388759455
